"genus","species","imageURL","uploaded","license"
"Abies","balsamea","https://static.inaturalist.org/photos/187240/small.jpg?1350006881","captain_fantastica_malone","Creative Commons Attribution-NonCommercial-ShareAlike License"
"Abies","concolor","https://static.inaturalist.org/photos/763629/small.jpg?1444518098","Gary Griffith","Creative Commons Attribution-NonCommercial-NoDerivs License"
"Abies","fraseri","https://static.inaturalist.org/photos/5883898/small.jpg?1482770774","CK Kelly","Creative Commons Attribution License"
"Abies","grandis","https://static.inaturalist.org/photos/2889465/small.jpg?1452977751","galianotwins","Creative Commons Attribution-NonCommercial License"
"Abies","lasiocarpa","https://static.inaturalist.org/photos/2414965/small.JPG?1442885144","marek","Creative Commons Attribution-NonCommercial License"
"Abies","magnifica","https://static.inaturalist.org/photos/4803976/small.jpeg?1473259302","marek","Creative Commons Attribution-NonCommercial License"
"Abies","procera","https://static.inaturalist.org/photos/23491760/small.jpeg?1534795351","Kate Bauer","Creative Commons Attribution-NonCommercial License"
"Acacia","constricta","https://static.inaturalist.org/photos/1767216/small.JPG?1430094068","jcordova4","Creative Commons Attribution-NonCommercial License"
"Aconitum","columbianum","https://static.inaturalist.org/photos/444804/small.jpg?1375637485","Brad","Creative Commons Attribution-NonCommercial License"
"Acer","glabrum","https://static.inaturalist.org/photos/2271838/small.jpg?1439750606","Ken-ichi Ueda","Creative Commons Attribution License"
"Acacia","greggii","https://static.inaturalist.org/photos/1360655/small.jpg?1416512824","Jason Eckberg","Creative Commons Attribution-NonCommercial License"
"Achnatherum","hymenoides","https://static.inaturalist.org/photos/2427529/small.jpg?1544492958","patra","Creative Commons Attribution-NonCommercial License"
"Not found","Not found","Not found","Not found","Not found"
"Achillea","millefolium","https://static.inaturalist.org/photos/42740/small.jpg","tewksjj","Creative Commons Attribution-NonCommercial-ShareAlike License"
"Acer","negundo","https://static.inaturalist.org/photos/112243/small.jpg","charlie","Creative Commons Attribution License"
"Acer","rubrum","https://static.inaturalist.org/photos/146288/small.JPG","Rob Curtis","Creative Commons Attribution-NonCommercial-ShareAlike License"
"Acer","saccharinum","https://static.inaturalist.org/photos/301372/small.jpg?1366405352","catharus","Creative Commons Attribution-NonCommercial License"
"Achnatherum","thurberianum","https://static.inaturalist.org/photos/45204395/small.jpg?1563332954","Jackie Grant","Creative Commons Attribution-NonCommercial-ShareAlike License"
"Adenostoma","fasciculatum","https://static.inaturalist.org/photos/92521/small.JPG","bob-dodge","Creative Commons Attribution License"
"Agoseris","aurantiaca","https://static.inaturalist.org/photos/4598508/small.jpeg?1471528197","Donna Pomeroy","Creative Commons Attribution-NonCommercial License"
"Agrostis","canina","https://static.inaturalist.org/photos/61002779/small.jpeg?1581084750","Svetlana Nesterova","Creative Commons Attribution-NonCommercial License"
"Agrostis","exarata","https://static.inaturalist.org/photos/85160158/small.jpeg?1595116672","mhays","Creative Commons Attribution-NonCommercial License"
"Agrostis","hyemalis","https://static.inaturalist.org/photos/20226880/small.jpg?1529816340","clairebaileym","Creative Commons Attribution-NonCommercial License"
"Agrostis","scabra","https://static.inaturalist.org/photos/22250791/small.jpg?1532901522","Will Van Hemessen","Creative Commons Attribution-NonCommercial License"
"Agastache","urticifolia","https://static.inaturalist.org/photos/2080790/small.JPG?1435890252","paloma","Creative Commons CC0 Universal Public Domain Dedication"
